Clave pintura,Date,Frequency_usage,Liters_Used,Material_Names,Frequency_area,Painted_Area_m2,Yield_m2_per_L,Seleccion,FYEILD,Litros
0341-BRONZE STD TEXT,2020-03-01 00:00:00,5,407.75,U0341_AKZO,3,2923.424,7.169648069,1,7.169648069,407.75
0341-BRONZE STD TEXT,2020-04-29 00:00:00,2,130,U0341_AKZO,1,1310.0404,10.07723385,1,10.07723385,130
0341-BRONZE STD TEXT,2020-08-18 00:00:00,3,403.5,U0341_AKZO,6,8649.999217,21.43742061,1,21.43742061,403.5
0341-BRONZE STD TEXT,2020-08-27 00:00:00,3,343.5,U0341_AKZO,4,5317.449,9.288120524,1,9.288120524,343.5
0341-BRONZE STD TEXT,2020-09-07 00:00:00,2,209.25,U0341_AKZO,,,6.192080349,1,6.192080349,209.25
0341-BRONZE STD TEXT,2020-09-20 00:00:00,2,209.25,U0341_AKZO,1,1053.985,5.036965352,1,5.036965352,209.25
0341-BRONZE STD TEXT,2020-09-29 00:00:00,3,359.25,U0341_AKZO,3,3704.541,10.31187474,1,10.31187474,359.25
0341-BRONZE STD TEXT,2020-10-02 00:00:00,4,338.5,U0341_AKZO,3,3306.04522,9.766751019,1,9.766751019,338.5
0341-BRONZE STD TEXT,2020-10-23 00:00:00,6,846.25,U0341_AKZO,8,12154.21675,14.36244224,1,14.36244224,846.25
0341-BRONZE STD TEXT,2020-10-24 00:00:00,3,318.5,U0341_AKZO,,,4.261077278,1,4.261077278,318.5
0341-BRONZE STD TEXT,2020-11-24 00:00:00,4,623.965,U0341_AKZO,6,8056.85783,8.65127811,1,8.65127811,623.965
0341-BRONZE STD TEXT,2020-12-04 00:00:00,6,767,U0341_AKZO,6,7603.31906,9.91306266,1,9.91306266,767
0341-BRONZE STD TEXT,2020-12-12 00:00:00,7,567.75,U0341_AKZO,6,7983.395825,14.06146336,1,14.06146336,567.75
0341-BRONZE STD TEXT,2020-12-30 00:00:00,4,657,U0341_AKZO,2,2358.62533,3.589992892,1,3.589992892,657
0341-BRONZE STD TEXT,2021-01-05 00:00:00,6,587.75,U0341_AKZO,3,2536.143,4.315002977,1,4.315002977,587.75
0341-BRONZE STD TEXT,2021-01-24 00:00:00,16,1743.25,U0341_AKZO,24,35655.63025,20.45353808,1,20.45353808,1743.25
0341-BRONZE STD TEXT,2021-04-06 00:00:00,5,607,U0341_AKZO,2,2893.261,4.766492586,1,4.766492586,607
0411-AMERICAN STERLING HVAC,2020-01-14 00:00:00,,,,2,842.329,,1,0.137339617,590
0411-AMERICAN STERLING HVAC,2020-01-17 00:00:00,2,60,I3465_VALS,2,527.472,8.7912,1,8.7912,60
0411-AMERICAN STERLING HVAC,2020-01-27 00:00:00,10,600,I3465_VALS,10,3955.936,6.593226667,1,6.593226667,600
0411-AMERICAN STERLING HVAC,2020-01-30 00:00:00,7,710,I3465_VALS,10,12329.4881,17.3654762,1,17.3654762,710
0411-AMERICAN STERLING HVAC,2020-02-08 00:00:00,5,640,I3465_VALS,3,4754.905,7.429539063,1,7.429539063,640
0411-AMERICAN STERLING HVAC,2020-02-11 00:00:00,13,1340,I3465_VALS,7,9631.00209,7.187314993,1,7.187314993,1340
0411-AMERICAN STERLING HVAC,2020-03-10 00:00:00,5,215,I3465_VALS,4,2528.959,11.7626,1,11.7626,215
0411-AMERICAN STERLING HVAC,2020-03-11 00:00:00,6,520,I3465_VALS,9,8840.066,17.00012692,1,17.00012692,520
0411-AMERICAN STERLING HVAC,2020-03-14 00:00:00,,,,6,2269.202,,1,0.967486898,492
0411-AMERICAN STERLING HVAC,2020-03-18 00:00:00,5,1000,I3465_VALS,7,9118.997,9.118997,1,9.118997,1000
0411-AMERICAN STERLING HVAC,2020-03-24 00:00:00,4,280,I3465_VALS,4,1533.642,5.477292857,1,5.477292857,280
0411-AMERICAN STERLING HVAC,2020-03-26 00:00:00,6,425,I3465_VALS,6,2560.00996,6.023552847,1,6.023552847,425
0411-AMERICAN STERLING HVAC,2020-03-29 00:00:00,1,90,I3465_VALS,1,460.032,5.111466667,1,5.111466667,90
0411-AMERICAN STERLING HVAC,2020-04-10 00:00:00,8,1050,I3465_VALS,19,13599.69044,12.95208613,1,12.95208613,1050
0411-AMERICAN STERLING HVAC,2020-04-21 00:00:00,5,600,I3465_VALS,5,5405.996,9.009993333,1,9.009993333,600
0411-AMERICAN STERLING HVAC,2020-04-30 00:00:00,4,470,I3465_VALS,7,2697.40644,5.739162638,1,5.739162638,470
0411-AMERICAN STERLING HVAC,2020-05-05 00:00:00,6,850,I3465_VALS,18,7283.792,8.569167059,1,8.569167059,850
0411-AMERICAN STERLING HVAC,2020-05-07 00:00:00,8,650,I3465_VALS,8,6772.712,10.41955692,1,10.41955692,650
0411-AMERICAN STERLING HVAC,2020-05-11 00:00:00,1,100,I3465_VALS,8,3939.684,39.39684,1,39.39684,100
0411-AMERICAN STERLING HVAC,2020-05-12 00:00:00,3,250,I3465_VALS,4,1630.68546,6.52274184,1,6.52274184,250
0411-AMERICAN STERLING HVAC,2020-05-14 00:00:00,3,390,I3465_VALS,3,3548.46862,9.098637487,1,9.098637487,390
0411-AMERICAN STERLING HVAC,2020-05-21 00:00:00,3,260,I3465_VALS,3,4337.404,16.68232308,1,16.68232308,260
0411-AMERICAN STERLING HVAC,2020-05-25 00:00:00,,,,4,4374.08542,,1,5.340851595,382.4375
0411-AMERICAN STERLING HVAC,2020-05-26 00:00:00,6,890,I3465_VALS,4,3428.03505,3.851724775,1,3.851724775,890
0411-AMERICAN STERLING HVAC,2020-05-27 00:00:00,2,75,I3465_VALS,,,,1,41.85540922,75
0411-AMERICAN STERLING HVAC,2020-05-29 00:00:00,2,285,I3465_VALS,1,1134.944,3.982259649,1,3.982259649,285
0411-AMERICAN STERLING HVAC,2020-06-02 00:00:00,5,300,I3465_VALS,5,2317.14,7.7238,1,7.7238,300
0411-AMERICAN STERLING HVAC,2020-06-11 00:00:00,2,260,I3465_VALS,,,,1,1.188276923,260
0411-AMERICAN STERLING HVAC,2020-06-16 00:00:00,1,140,I3465_VALS,,,,1,0,140
0411-AMERICAN STERLING HVAC,2020-06-19 00:00:00,6,899,I3465_VALS,6,6624.30008,7.368520667,1,7.368520667,899
0411-AMERICAN STERLING HVAC,2020-06-24 00:00:00,4,420,I3465_VALS,1,931.296,2.217371429,1,2.217371429,420
0411-AMERICAN STERLING HVAC,2020-07-01 00:00:00,2,110,I3465_VALS,3,1622.972,14.75429091,1,14.75429091,110
0411-AMERICAN STERLING HVAC,2020-07-11 00:00:00,1,100,I3465_VALS,6,5933.574,59.33574,1,59.33574,100
0411-AMERICAN STERLING HVAC,2020-07-12 00:00:00,11,1180,I3465_VALS,16,10715.85232,9.08123078,1,9.08123078,1180
0411-AMERICAN STERLING HVAC,2020-07-17 00:00:00,7,400,I3465_VALS,8,6790.993366,16.97748342,1,16.97748342,400
0411-AMERICAN STERLING HVAC,2020-07-24 00:00:00,4,330,I3465_VALS,1,689.512,2.089430303,1,2.089430303,330
0411-AMERICAN STERLING HVAC,2020-07-31 00:00:00,3,220,I3465_VALS,3,2482.381,11.28355,1,11.28355,220
0411-AMERICAN STERLING HVAC,2020-08-08 00:00:00,2,120,I3465_VALS,6,2909.57671,24.24647258,1,24.24647258,120
0411-AMERICAN STERLING HVAC,2020-08-18 00:00:00,8,390,I3465_VALS,10,3552.208,9.108225641,1,9.108225641,390
0411-AMERICAN STERLING HVAC,2020-08-24 00:00:00,2,260,I3465_VALS,4,3508.96845,13.4960325,1,13.4960325,260
0411-AMERICAN STERLING HVAC,2020-09-04 00:00:00,5,390,I3465_VALS,16,8260.47928,21.1807161,1,21.1807161,390
0411-AMERICAN STERLING HVAC,2020-09-20 00:00:00,2,250,I3465_VALS,4,4158.54224,16.63416896,1,16.63416896,250
0411-AMERICAN STERLING HVAC,2020-10-08 00:00:00,5,380,I3465_VALS,8,3590.708,9.449231579,1,9.449231579,380
