Clave pintura,Year-Month,Frequency_usage,Liters_Used,Material_Names,Frequency_area,Painted_Area_m2,Yield_m2_per_L,Seleccion
0341-BRONZE STD TEXT,2020-03,5,407.75,U0341_AKZO,3,2923.424,7.169648069,1
0341-BRONZE STD TEXT,2020-04,2,130,U0341_AKZO,1,1310.0404,10.07723385,1
0341-BRONZE STD TEXT,2020-08,6,747,U0341_AKZO,10,13967.44822,18.69805651,1
0341-BRONZE STD TEXT,2020-09,7,777.75,U0341_AKZO,4,4758.526,6.118323369,1
0341-BRONZE STD TEXT,2020-10,13,1503.25,U0341_AKZO,11,15460.26197,10.2845581,1
0341-BRONZE STD TEXT,2020-11,4,623.965,U0341_AKZO,6,8056.85783,12.91235539,1
0341-BRONZE STD TEXT,2020-12,17,1991.75,U0341_AKZO,14,17945.34021,9.00983568,1
0341-BRONZE STD TEXT,2021-01,22,2331,U0341_AKZO,27,38191.77325,16.38428711,1
0341-BRONZE STD TEXT,2021-04,5,607,U0341_AKZO,2,2893.261,4.766492586,1
0411-AMERICAN STERLING HVAC,2020-01,19,1370,I3465_VALS,24,17655.2251,12.88702562,1
0411-AMERICAN STERLING HVAC,2020-02,18,1980,I3465_VALS,10,14385.90709,7.265609641,1
0411-AMERICAN STERLING HVAC,2020-03,27,2530,I3465_VALS,37,27310.90796,10.79482528,1
0411-AMERICAN STERLING HVAC,2020-04,17,2120,I3465_VALS,31,21703.09288,10.23730796,1
0411-AMERICAN STERLING HVAC,2020-05,34,3750,I3465_VALS,53,36449.81055,9.71994948,1
0411-AMERICAN STERLING HVAC,2020-06,18,2019,I3465_VALS,12,9872.73608,4.889913858,1
0411-AMERICAN STERLING HVAC,2020-07,28,2340,I3465_VALS,37,28235.28469,12.06636098,1
0411-AMERICAN STERLING HVAC,2020-08,12,770,I3465_VALS,20,9970.75316,12.94903008,1
0411-AMERICAN STERLING HVAC,2020-09,7,640,I3465_VALS,20,12419.02152,19.40472113,1
0411-AMERICAN STERLING HVAC,2020-10,5,380,I3465_VALS,8,3590.708,9.449231579,1
0486-DORIAN GRAY LOW GLOSS,2020-01,86,12269.89,U0486_AKZO,102,104606.9638,8.525501357,1
0486-DORIAN GRAY LOW GLOSS,2020-02,121,17975.8,U0486_AKZO,160,178070.59,9.906128796,1
0486-DORIAN GRAY LOW GLOSS,2020-03,98,15195.15,U0486_AKZO,137,150700.4021,9.917664654,1
0486-DORIAN GRAY LOW GLOSS,2020-04,51,7770,U0486_AKZO,67,77790.2758,10.01161851,1
0486-DORIAN GRAY LOW GLOSS,2020-05,23,3323.23,U0486_AKZO,33,36121.59614,10.86942407,1
0486-DORIAN GRAY LOW GLOSS,2020-06,22,3785,U0486_AKZO,32,37625.63628,9.940722928,1
0486-DORIAN GRAY LOW GLOSS,2020-07,124,17271.034,U0486_AKZO,173,177618.4665,10.28418255,1
0486-DORIAN GRAY LOW GLOSS,2020-08,123,17936.08,U0486_AKZO,185,186212.072,10.38198269,1
0486-DORIAN GRAY LOW GLOSS,2020-09,67,10281,"U0486_AKZO,U0486_BECK",90,102500.2255,9.96986922,1
0486-DORIAN GRAY LOW GLOSS,2020-10,104,15974.9,U0486_AKZO,133,162563.6539,10.17619227,1
0486-DORIAN GRAY LOW GLOSS,2020-11,115,17939.89,U0486_AKZO,121,144237.8159,8.040061334,1
0486-DORIAN GRAY LOW GLOSS,2020-12,28,4310.28,U0486_AKZO,36,45897.79094,10.64844765,1
0486-DORIAN GRAY LOW GLOSS,2021-01,22,3110.19,U0486_AKZO,27,32191.97627,10.35048543,1
0486-DORIAN GRAY LOW GLOSS,2021-02,40,6394.5,U0486_AKZO,46,62808.8022,9.822316397,1
0486-DORIAN GRAY LOW GLOSS,2021-03,61,9740.25,U0486_AKZO,75,95648.58695,9.819931414,1
0486-DORIAN GRAY LOW GLOSS,2021-04,73,11934.11,"U0486_AKZO,U0486_BECK",111,153383.0968,12.85249565,1
0486-DORIAN GRAY LOW GLOSS,2021-05,61,10396.04,U0486_AKZO,71,88587.08228,8.521233304,1
0486-DORIAN GRAY LOW GLOSS,2021-06,80,13328.3,U0486_AKZO,99,117091.124,8.785150694,1
0486-DORIAN GRAY LOW GLOSS,2021-07,89,15060,U0486_AKZO,81,127405.982,8.45989256,1
0486-DORIAN GRAY LOW GLOSS,2021-08,98,15415.555,U0486_AKZO,87,125567.6114,8.145513505,1
0486-DORIAN GRAY LOW GLOSS,2021-09,55,8367.5,U0486_AKZO,78,114433.7616,13.67597988,1
0486-DORIAN GRAY LOW GLOSS,2021-10,144,22558.88,U0486_AKZO,142,209427.1861,9.283580837,1
0486-DORIAN GRAY LOW GLOSS,2021-11,95,15298.21,U0486_AKZO,94,141883.1854,9.274495865,1
0486-DORIAN GRAY LOW GLOSS,2021-12,47,7325.75,"U0486_AKZO,U0486_VALS",47,70156.70844,9.576727085,1
0486-DORIAN GRAY LOW GLOSS,2022-01,91,13314.985,"U0486_AKZO,U0486_BECK",87,122379.4613,9.191107709,1
0486-DORIAN GRAY LOW GLOSS,2022-02,56,8327,U0486_AKZO,67,91783.70778,11.02242197,1
0486-DORIAN GRAY LOW GLOSS,2022-03,53,7966.25,U0486_AKZO,57,75565.39252,9.485691828,1
0486-DORIAN GRAY LOW GLOSS,2022-04,30,4595.75,"U0486_AKZO,U0486_BECK",35,53103.92016,11.55500629,1
0486-DORIAN GRAY LOW GLOSS,2022-05,62,9693.3,"U0486_AKZO,U0486_BECK",53,90014.65211,9.286275274,1
0486-DORIAN GRAY LOW GLOSS,2022-06,6,985.5,U0486_AKZO,7,10498.14355,10.65260635,1
0486-DORIAN GRAY LOW GLOSS,2022-08,17,2771.51,U0486_AKZO,20,28663.77042,10.3422937,1
0486-DORIAN GRAY LOW GLOSS,2022-09,112,18017.63,U0486_AKZO,136,203499.052,11.29444061,1
0486-DORIAN GRAY LOW GLOSS,2022-10,86,13766.98,U0486_AKZO,126,158758.3849,11.5318236,1
0486-DORIAN GRAY LOW GLOSS,2022-11,135,21548.1,U0486_AKZO,141,191574.5908,8.890556048,1
0486-DORIAN GRAY LOW GLOSS,2022-12,91,14644.49,U0486_AKZO,128,174373.7004,11.90712005,1
0486-DORIAN GRAY LOW GLOSS,2023-01,32,5204.75,U0486_AKZO,37,51328.81356,9.861917203,1
0486-DORIAN GRAY LOW GLOSS,2023-02,16,2276,U0486_AKZO,20,23351.30627,10.25980064,1
