Index,Exp 7
0,3.872983346
1,4
2,4.242640687
3,5.196152423
4,4.582575695
5,7
6,4.582575695
7,4.69041576
8,5.291502622
9,6
10,6.32455532
11,1.732050808
12,4.582575695
13,5.385164807
14,7.874007874
15,8.062257748
16,6.782329983
17,6.633249581
18,5.744562647
19,7.874007874
20,4.69041576
21,3.464101615
22,4.898979486
23,1.732050808
24,2.236067977
25,3.741657387
26,6
27,6.32455532
28,7
29,2.645751311
30,7.211102551
31,8.062257748
32,4.123105626
33,2.236067977
34,4.123105626
35,1
