Clave pintura,Year-Week,Frequency_usage,Liters_Used,Material_Names,Frequency_area,Painted_Area_m2,Yield_m2_per_L,Seleccion
0341-BRONZE STD TEXT,2020-09,5,407.75,U0341_AKZO,3,2923.424,7.169648069,1
0341-BRONZE STD TEXT,2020-18,2,130,U0341_AKZO,1,1310.0404,10.07723385,1
0341-BRONZE STD TEXT,2020-34,3,403.5,U0341_AKZO,6,8649.999217,21.43742061,1
0341-BRONZE STD TEXT,2020-35,3,343.5,U0341_AKZO,4,5317.449,15.48020087,1
0341-BRONZE STD TEXT,2020-37,2,209.25,U0341_AKZO,,,,1
0341-BRONZE STD TEXT,2020-38,2,209.25,U0341_AKZO,1,1053.985,5.036965352,1
0341-BRONZE STD TEXT,2020-40,7,697.75,U0341_AKZO,6,7010.58622,10.04741845,1
0341-BRONZE STD TEXT,2020-43,9,1164.75,U0341_AKZO,8,12154.21675,10.43504335,1
0341-BRONZE STD TEXT,2020-48,4,623.965,U0341_AKZO,6,8056.85783,12.91235539,1
0341-BRONZE STD TEXT,2020-49,6,767,U0341_AKZO,6,7603.31906,9.91306266,1
0341-BRONZE STD TEXT,2020-50,7,567.75,U0341_AKZO,6,7983.395825,14.06146336,1
0341-BRONZE STD TEXT,2020-53,4,657,U0341_AKZO,2,2358.62533,3.589992892,1
0341-BRONZE STD TEXT,2021-01,6,587.75,U0341_AKZO,3,2536.143,4.315002977,1
0341-BRONZE STD TEXT,2021-03,16,1743.25,U0341_AKZO,24,35655.63025,20.45353808,1
0341-BRONZE STD TEXT,2021-14,5,607,U0341_AKZO,2,2893.261,4.766492586,1
0411-AMERICAN STERLING HVAC,2020-03,2,60,I3465_VALS,4,1369.801,22.83001667,1
0411-AMERICAN STERLING HVAC,2020-05,17,1310,I3465_VALS,20,16285.4241,12.43162145,1
0411-AMERICAN STERLING HVAC,2020-06,5,640,I3465_VALS,3,4754.905,7.429539063,1
0411-AMERICAN STERLING HVAC,2020-07,13,1340,I3465_VALS,7,9631.00209,7.187314993,1
0411-AMERICAN STERLING HVAC,2020-11,11,735,I3465_VALS,19,13638.227,18.55541088,1
0411-AMERICAN STERLING HVAC,2020-12,5,1000,I3465_VALS,7,9118.997,9.118997,1
0411-AMERICAN STERLING HVAC,2020-13,11,795,I3465_VALS,11,4553.68396,5.727904352,1
0411-AMERICAN STERLING HVAC,2020-15,8,1050,I3465_VALS,19,13599.69044,12.95208613,1
0411-AMERICAN STERLING HVAC,2020-17,5,600,I3465_VALS,5,5405.996,9.009993333,1
0411-AMERICAN STERLING HVAC,2020-18,4,470,I3465_VALS,7,2697.40644,5.739162638,1
0411-AMERICAN STERLING HVAC,2020-19,14,1500,I3465_VALS,26,14056.504,9.371002667,1
0411-AMERICAN STERLING HVAC,2020-20,7,740,I3465_VALS,15,9118.83808,12.32275416,1
0411-AMERICAN STERLING HVAC,2020-21,3,260,I3465_VALS,3,4337.404,16.68232308,1
0411-AMERICAN STERLING HVAC,2020-22,10,1250,I3465_VALS,9,8937.06447,7.149651576,1
0411-AMERICAN STERLING HVAC,2020-23,5,300,I3465_VALS,5,2317.14,7.7238,1
0411-AMERICAN STERLING HVAC,2020-24,2,260,I3465_VALS,,,,1
0411-AMERICAN STERLING HVAC,2020-25,7,1039,I3465_VALS,6,6624.30008,6.37564974,1
0411-AMERICAN STERLING HVAC,2020-26,4,420,I3465_VALS,1,931.296,2.217371429,1
0411-AMERICAN STERLING HVAC,2020-27,2,110,I3465_VALS,3,1622.972,14.75429091,1
0411-AMERICAN STERLING HVAC,2020-28,12,1280,I3465_VALS,22,16649.42632,13.00736431,1
0411-AMERICAN STERLING HVAC,2020-29,7,400,I3465_VALS,8,6790.993366,16.97748342,1
